"","site","Date.and.Time_mean","plotID_mean","siteID_mean","transect.1_mean","notes_mean","aPAR_mean","bPAR_mean","tau_mean","LAI_mean","Leaf.Distribuition...._mean","Beam.Fraction..Fb._mean","Zenith.Angle_mean","Latitude_mean","Longitude_mean","fPAR_mean","Date.and.Time_sd","plotID_sd","siteID_sd","transect.1_sd","notes_sd","aPAR_sd","bPAR_sd","tau_sd","LAI_sd","Leaf.Distribuition...._sd","Beam.Fraction..Fb._sd","Zenith.Angle_sd","Latitude_sd","Longitude_sd","fPAR_sd"
"1","ARNO",NA,NA,NA,NA,NA,844.246666666667,30.1666666666667,0.0543777777777778,4.95511111111111,1,0.428888888888889,NA,NA,NA,0.944230598545465,13.1339255365637,2.65851025344586,0,13.1339255365637,12.7304216883667,445.771031013579,22.7854618721516,0.054794363051524,1.36815838766474,0,0.335208362760607,9.82009895237026,0,0,0.0901380985439365
"2","COLP",NA,NA,NA,NA,NA,1180.9,17.5,0.015,6.69,1,0.57,NA,NA,NA,0.985180794309425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","GRSM",NA,NA,NA,NA,NA,1729.10909090909,51.1727272727273,0.0274545454545455,7.61272727272727,1,0.855454545454545,NA,NA,NA,0.970761410728314,6.909589296219,2.32481438071127,0,6.76395463106327,6.76395463106327,178.540842090465,39.9516872737224,0.0221224455565518,1.29496895281107,0,0.0572153220177347,13.509736748471,0,0,0.0218307266476462
"4","HARV",NA,NA,NA,NA,NA,378.675,30.9,0.2299,2.638,1,0.157,NA,NA,NA,0.798738292454273,15.7837144242298,5.19362281540718,0,14.5807873235419,14.5807873235419,392.911281008308,18.7008295441947,0.22598738335557,1.51234102788207,0,0.26500314463543,8.92989074501747,0.496138938356834,2.976833630141,0.191257827461351
"5","MLBS",NA,NA,NA,NA,NA,1491.95,176.45,0.12,4.015,1,0.845,NA,NA,NA,0.881772718573348,0.707106781186548,0.707106781186548,0,0.707106781186548,0.707106781186548,30.6177236253775,9.54594154601839,0.00282842712474619,0.00707106781186532,0,0.00707106781186548,2.12132034355964,0,0,0.00397204418265852
"6","OSBS",NA,NA,NA,NA,NA,1970.61153846154,1296.4641025641,0.651653846153846,1.11294871794872,1,0.882307692307692,NA,NA,NA,0.34808680589584,22.7046104128508,7.07555203241673,0,21.7731661126893,21.7731661126893,263.534074280146,365.513712846802,0.147263508579149,0.500880028081378,0,0.130751306287563,9.67539250434938,1.72564639421159,0.739562740376398,0.142767120218494
"7","RICE",NA,NA,NA,NA,NA,1908.9,166.8,0.0745,6.285,1,0.8975,NA,NA,NA,0.913241393965465,1.29099444873581,0.577350269189626,0,1.29099444873581,1.29099444873581,42.7346073653037,109.517821989543,0.0392640632979658,1.61663230204026,0,0.00957427107756339,1.25830573921179,0,0,0.0554847170045944
"8","SCBI",NA,NA,NA,NA,NA,1303.2,94.3333333333333,0.0741666666666667,4.96222222222222,1,0.698333333333333,NA,NA,NA,0.925322866428042,5.33853912601566,1.75733755838702,0,5.33853912601566,5.33853912601566,120.777393677498,59.8984827461775,0.0533933791885892,0.891486237929841,0,0.082622458134791,1.47417862363388,0,0,0.0536090745598281
"9","TALL",NA,NA,NA,NA,NA,1116.88461538462,321.607692307692,0.296307692307692,2.25846153846154,1,0.48,NA,NA,NA,0.70076696042989,3.89444048184931,1.31558702896054,0,3.89444048184931,3.89444048184931,344.83724867961,147.010535118737,0.100099437740166,0.851536318992973,0,0.200748598998847,5.36010906892474,0,0,0.101597560921543
"10","TREE",NA,NA,NA,NA,NA,1640.175,265.545,0.15875,4.255,1,0.8695,NA,NA,NA,0.840210568396415,9.3774645883236,2.85435954656253,0,8.53645433605657,9.03953305733968,156.156385429883,196.850251594027,0.109422346894956,1.13450429703902,0,0.0468452098320685,11.8954878663696,0,0,0.11059558275692
"11","UNDE",NA,NA,NA,NA,NA,536.94,74.55,0.2786,2.524,1,0.241,NA,NA,NA,0.708273985727204,3.94405318873308,1.56702123647242,0,4.71404520791032,4.71404520791032,699.870669322395,90.0507048525687,0.177511940130485,1.90063264321237,0,0.362842175669318,3.37474278855276,0,0,0.203817681396254
"12","UVAA",NA,NA,NA,NA,NA,1565.13333333333,251.933333333333,0.162666666666667,3.83666666666667,1,0.85,NA,NA,NA,0.834856706088452,1,0,0,1,1,271.519802838271,135.637912595754,0.0988803991361955,0.721549259117722,0,0.0519615242270664,0,0,0,0.101430663996906
"13","UVAX",NA,NA,NA,NA,NA,1573.86666666667,143.05,0.0903333333333333,5.06333333333333,1,0.853333333333333,NA,NA,NA,0.909296070116208,1.87082869338697,1.09544511501033,0,1.87082869338697,1.87082869338697,70.5818579145283,48.0742238626897,0.0299109790322327,0.431539878419905,0,0.0314112506383727,2.04124145231932,0,0,0.0302663109481948
