"","siteid","mean.npp.mc","sd.npp.mc","mean.npp.est","sd.npp.est","mc.cv","npp.cv","mc.se","npp.se"
"1","BART",1.93343912070542,1.92606775011199,1.50994485379111,1.98295072333438,0.99618743072151,1.313260360705,0.0609076101814991,0.0627064077361503
"2","DELA",8.90473711251456,5.04075804711011,7.77505288658116,4.44829391994467,0.566076009141911,0.572123943699716,0.159402765626903,0.140667404889039
"3","GRSM",8.72867409435295,5.59801175266617,8.63578288927342,5.42808564094364,0.641335865236144,0.628557446445987,0.177024675068163,0.171651139598368
"4","HARV",4.70087447127296,8.88715422654087,2.87637192146951,2.7978559140082,1.89053212989419,0.972703110166225,0.281036492730612,0.088475972532381
"5","LENO",7.7480332943635,7.06980798248232,7.15036873270578,6.83560203890333,0.912464842868633,0.955978956391059,0.223566958446839,0.216160716214254
"6","ORNL",10.1136129559934,7.21312035149165,9.61986768948395,7.05066548929977,0.713209056237128,0.732927490989015,0.228098893476279,0.222961619661328
"7","OSBS",0.809638615389511,0.614250632936768,0.985457724384622,1.16260890085901,0.758672599430373,1.17976537409052,0.0194243105428023,0.0367649215469937
"8","SCBI",4.65822597048222,3.62395372821591,4.24498343036987,3.51260293630902,0.777968641104965,0.827471530555058,0.114599479162211,0.111078257945319
"9","SERC",10.9236876548262,6.82110390928489,9.47709017577082,6.07629142303738,0.624432346000962,0.641155809466925,0.215702245100188,0.192149206237439
"10","TALL",3.07186706527224,3.44794003401451,4.00699907321771,5.38756105778642,1.12242488387398,1.34453763510858,0.109033437431643,0.170369639758311
"11","TREE",3.48683648104056,2.34300446538338,2.97317987403541,2.24854724113048,0.671957081475804,0.756276894232638,0.0740923067855661,0.0711053070846017
"12","UNDE",4.18672057760921,4.18976501844735,4.0187964878158,3.95305225395028,1.00072716599584,0.983640815337417,0.13249200319191,0.125006488321452
